,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Count,User_Count,Labels,Numeric_Labels
233,2013.0,2.15,1.01,0.02,0.31,3.48,21.0,542.0,L,0
234,2010.0,2.1,1.01,0.04,0.32,3.47,75.0,869.0,H,1
235,2008.0,2.1,1.01,0.01,0.35,3.46,70.0,29.0,L,0
236,2006.0,0.59,1.79,0.73,0.34,3.45,30.0,13.0,H,1
237,2009.0,2.4,0.71,0.03,0.29,3.44,83.0,715.0,H,1
238,2002.0,1.55,1.27,0.33,0.29,3.44,23.0,126.0,H,1
239,1998.0,1.13,2.07,0.13,0.02,3.42,15.0,67.0,L,0
240,2015.0,1.09,1.36,0.49,0.48,3.41,86.0,3943.0,H,1
241,2004.0,1.75,1.2,0.02,0.43,3.4000000000000004,50.0,28.0,H,1
242,2011.0,0.12,1.05,0.06,0.46,3.39,86.0,657.0,H,1
243,2000.0,1.56,1.47,0.19,0.17,3.39,12.0,99.0,L,0
244,2008.0,2.04,1.02,0.04,0.32,3.38,49.0,75.0,L,0
245,2012.0,0.88,1.7,0.1,0.67,3.35,32.0,1041.0,H,1
246,2002.0,1.45,1.29,0.12,0.46,3.33,20.0,66.0,H,1
247,2005.0,1.47,1.39,0.03,0.43,3.32,34.0,82.0,L,0
248,2009.0,1.4,0.91,0.74,0.26,3.31,75.0,228.0,H,1
249,2001.0,1.99,1.05,0.05,0.22,3.31,21.0,86.0,H,1
250,2003.0,1.5,1.28,0.05,0.46,3.28,31.0,105.0,H,1
251,2015.0,2.61,0.33,0.04,0.34,3.28,74.0,563.0,L,0
252,2003.0,1.89,1.05,0.02,0.31,3.27,39.0,94.0,L,0
253,2008.0,0.6,1.57,0.82,0.27,3.26,62.0,11.0,H,1
254,2008.0,1.35,1.11,0.46,0.32,3.25,43.0,116.0,L,0
255,2015.0,2.34,0.3,0.04,0.6,3.24,37.0,180.0,L,0
256,2013.0,0.72,1.67,0.4,0.44,3.23,81.0,758.0,L,0
257,2014.0,1.91,1.0,0.03,0.29,3.23,69.0,1267.0,L,0
258,2015.0,1.18,0.89,0.94,0.03,3.21,85.0,691.0,H,1
259,2003.0,1.78,1.12,0.09,0.19,3.18,30.0,137.0,L,0
260,2007.0,0.17,0.04,0.05,0.43,3.18,67.0,463.0,H,1
261,2010.0,2.15,0.76,0.01,0.26,3.17,63.0,85.0,L,0
